Total doses distributed,Total doses administered by jurisdiction,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with a completed primary series,Residents 65+ with at least one dose,Residents 65+ with a completed primary series,Residents 12+ with at least one dose,Residents 12+ with a completed primary series,Residents 5+ with at least one dose,Residents 5+ with a completed primary series
2176065,1328221,535718,73.2,418608,90909,81999,504958,452885,530318,474707
12349530,7018011,3193141,65.1,2416344,840073,725159,3107922,2554026,3183544,2607644
8373210,4874091,2115165,70.1,1547724,524198,440981,2031772,1661645,2104099,1715538
19959120,14647405,5704677,78.4,4239941,1348446,1188267,5394242,4596164,5663049,4805903
121107865,88487852,33613401,85.1,25681179,6058090,5441414,31630858,27956563,33267856,29371810
17769135,13033446,4837792,84.0,3729317,902546,818078,4549073,4023663,4776300,4215139
11881825,9040989,3670090,95.0,2602449,823664,654355,3481915,2816633,3640198,2948721
3352025,2169125,861811,88.5,641112,225182,193640,823076,686257,856096,713143
61526685,42267369,17810446,82.9,13732833,4944364,4244393,17285242,14571195,17757764,14946304
28727475,17124791,7287758,68.6,5494615,1494072,1315992,6998957,5894565,7248684,6085428
4677910,3530357,1297884,91.7,1010380,281382,258069,1221060,1092826,1285596,1150133
9429185,6131087,2235485,70.9,1818244,564406,532779,2126967,1945875,2215662,2024863
4751720,2894361,1146055,64.1,909671,287593,263280,1100797,975039,1139488,1008843
38328915,26859342,10036899,79.2,7874806,2011136,1865350,9419010,8534152,9928857,8988132
18989660,11201087,4350210,64.6,3511518,1046568,976073,4152915,3752153,4321434,3886503
8356725,5387922,2229631,76.5,1688660,513572,462691,2112940,1820505,2209027,1898540
12200975,7510137,3086324,69.1,2420948,750781,671775,2968160,2577615,3069983,2661099
10282120,6961453,2924163,62.9,2350247,687335,647350,2833936,2497575,2915981,2558038
23747420,18179748,7393770,95.0,5087207,1549552,1229041,6947787,5480791,7306432,5770765
22359840,14722268,5566178,92.1,4174362,1057586,954352,5210024,4540602,5500247,4794005
4981040,3542346,1315892,95.0,1006201,366916,303658,1252248,1070587,1303033,1116192
29638290,18769116,6979192,69.9,5615530,1756102,1615024,6654690,5984396,6921128,6221234
18519240,12829141,4461994,79.1,3533102,975356,919278,4143519,3818740,4390824,4039371
15654225,10509024,4269469,69.6,3276112,1058140,943084,4082773,3493438,4236460,3615520
7252325,4307637,1839306,61.8,1462932,457131,419847,1786974,1560115,1835283,1598993
2714785,1870288,731323,68.4,574244,205131,184619,699363,610146,726052,631474
30278310,19434544,9456334,90.2,6316324,2366178,1811611,9047747,6737636,9392711,6987602
1910860,1314469,530640,69.6,403968,127584,110011,503578,429396,524966,446460
5481710,3822190,1425923,73.7,1128474,318755,297818,1345134,1219736,1412159,1278092
5121800,2983122,1203845,88.5,891141,304648,257396,1152503,946332,1194903,977652
29637655,19826065,8430561,94.9,6195423,1686625,1439157,8011957,6701732,8374653,7008596
6176205,4750638,1989307,94.9,1385236,466822,381631,1878915,1503820,1973116,1575380
7722770,5590682,2400362,77.9,1777961,518532,442765,2317311,1903207,2392442,1962621
61302975,45177512,18427712,94.7,14013838,3630599,3195894,17549952,15041636,18297040,15686124
31703485,21104771,7707458,65.9,6367505,1939194,1834185,7345998,6787142,7639577,7048249
9702330,6773461,2961991,74.9,2173211,715240,594390,2864254,2325996,2950731,2394480
14222125,9399175,3459096,82.0,2726093,786172,723687,3267521,2921883,3420770,3048791
42895735,27586432,11666613,91.1,8447352,2919117,2445124,11109272,9003735,11562144,9373738
3531485,2672092,1126779,95.0,819194,235273,200777,1065257,881654,1117840,926851
14205395,8666603,3666079,71.2,2811296,994994,860836,3532862,2991350,3646320,3081834
2713025,1688981,746118,84.3,524003,197409,159605,707773,561475,739933,586667
17172490,11323319,4413541,64.6,3528315,1082135,992506,4264391,3737837,4391102,3843432
80813315,52510128,22322586,77.0,16008968,3756924,3330121,20968277,17532579,22160914,18363854
8421900,6158852,2421459,75.5,1818842,388400,354415,2251177,2018440,2393586,2134792
26823665,19608172,7794449,91.3,5701220,1565047,1329147,7327103,6182123,7712390,6507230
2588940,1762563,623937,95.0,467865,151804,133976,582633,502332,614499,531036
25606455,17723480,6517326,85.6,5095049,1298687,1188410,6122611,5484930,6428635,5755895
16474175,12444016,4386970,75.3,3539130,1081267,1008957,4156988,3789458,4341550,3954892
5515855,3098571,1212338,67.6,989169,354072,321971,1178037,1045058,1208323,1069264
1281755,854132,353727,61.1,281901,97375,87140,342435,298745,352361,306932
