Data As Of,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia and COVID-19 Deaths
09/27/2023,Alabama,All Sexes,All Ages,21520.0,231602.0,7411.0
09/27/2023,Alabama,All Sexes,Under 1 year,0.0,1491.0,0.0
09/27/2023,Alabama,All Sexes,0-17 years,19.0,2691.0,0.0
09/27/2023,Alabama,All Sexes,1-4 years,0.0,344.0,0.0
09/27/2023,Alabama,All Sexes,5-14 years,0.0,453.0,0.0
09/27/2023,Alabama,All Sexes,15-24 years,46.0,2672.0,16.0
09/27/2023,Alabama,All Sexes,18-29 years,142.0,4549.0,55.0
09/27/2023,Alabama,All Sexes,25-34 years,267.0,5388.0,102.0
09/27/2023,Alabama,All Sexes,30-39 years,416.0,6827.0,147.0
09/27/2023,Alabama,All Sexes,35-44 years,670.0,8639.0,231.0
09/27/2023,Alabama,All Sexes,40-49 years,1053.0,11224.0,359.0
09/27/2023,Alabama,All Sexes,45-54 years,1628.0,15413.0,557.0
09/27/2023,Alabama,All Sexes,50-64 years,4563.0,43324.0,1595.0
09/27/2023,Alabama,All Sexes,55-64 years,3568.0,34215.0,1250.0
09/27/2023,Alabama,All Sexes,65-74 years,5481.0,51862.0,1946.0
09/27/2023,Alabama,All Sexes,75-84 years,5630.0,58463.0,2026.0
09/27/2023,Alabama,All Sexes,85 years and over,4216.0,52662.0,1279.0
09/27/2023,Alaska,All Sexes,All Ages,1492.0,20039.0,813.0
09/27/2023,Alaska,All Sexes,Under 1 year,0.0,198.0,0.0
09/27/2023,Alaska,All Sexes,0-17 years,10.0,376.0,0.0
09/27/2023,Alaska,All Sexes,1-4 years,0.0,36.0,0.0
09/27/2023,Alaska,All Sexes,5-14 years,0.0,71.0,0.0
09/27/2023,Alaska,All Sexes,15-24 years,0.0,477.0,0.0
09/27/2023,Alaska,All Sexes,18-29 years,20.0,771.0,10.0
09/27/2023,Alaska,All Sexes,25-34 years,35.0,942.0,18.0
09/27/2023,Alaska,All Sexes,30-39 years,47.0,1180.0,22.0
09/27/2023,Alaska,All Sexes,35-44 years,70.0,1197.0,36.0
09/27/2023,Alaska,All Sexes,40-49 years,94.0,1254.0,56.0
09/27/2023,Alaska,All Sexes,45-54 years,129.0,1590.0,70.0
09/27/2023,Alaska,All Sexes,50-64 years,322.0,4184.0,172.0
09/27/2023,Alaska,All Sexes,55-64 years,244.0,3254.0,134.0
09/27/2023,Alaska,All Sexes,65-74 years,389.0,4514.0,238.0
09/27/2023,Alaska,All Sexes,75-84 years,361.0,4246.0,205.0
09/27/2023,Alaska,All Sexes,85 years and over,249.0,3514.0,109.0
09/27/2023,Arizona,All Sexes,All Ages,30307.0,284393.0,17435.0
09/27/2023,Arizona,All Sexes,Under 1 year,0.0,1603.0,0.0
09/27/2023,Arizona,All Sexes,0-17 years,48.0,3178.0,17.0
09/27/2023,Arizona,All Sexes,1-4 years,0.0,380.0,0.0
09/27/2023,Arizona,All Sexes,5-14 years,18.0,543.0,10.0
09/27/2023,Arizona,All Sexes,15-24 years,123.0,3961.0,62.0
09/27/2023,Arizona,All Sexes,18-29 years,279.0,6779.0,144.0
09/27/2023,Arizona,All Sexes,25-34 years,482.0,8054.0,247.0
09/27/2023,Arizona,All Sexes,30-39 years,741.0,9744.0,406.0
09/27/2023,Arizona,All Sexes,35-44 years,1000.0,10839.0,562.0
09/27/2023,Arizona,All Sexes,40-49 years,1484.0,12615.0,880.0
09/27/2023,Arizona,All Sexes,45-54 years,2229.0,16820.0,1343.0
09/27/2023,Arizona,All Sexes,50-64 years,5898.0,45366.0,3574.0
09/27/2023,Arizona,All Sexes,55-64 years,4583.0,35482.0,2794.0
09/27/2023,Arizona,All Sexes,65-74 years,7300.0,58762.0,4482.0
09/27/2023,Arizona,All Sexes,75-84 years,8223.0,74120.0,4739.0
09/27/2023,Arizona,All Sexes,85 years and over,6334.0,73829.0,3193.0
09/27/2023,Arkansas,All Sexes,All Ages,12663.0,140174.0,6060.0
09/27/2023,Arkansas,All Sexes,Under 1 year,0.0,987.0,0.0
