State,2022 Population Estimate,Region
Connecticut,3626205,Northeast
Maine,1385340,Northeast
Massachusetts,6981974,Northeast
New Hampshire,1395231,Northeast
New Jersey,9261699,Northeast
New York,19677151,Northeast
Pennsylvania,12972008,Northeast
Rhode Island,1093734,Northeast
Vermont,647064,Northeast
Illinois,12582032,Midwest
Indiana,6833037,Midwest
Iowa,3200517,Midwest
Michigan,10034113,Midwest
Minnesota,5717184,Midwest
Missouri,6177957,Midwest
Ohio,11756058,Midwest
Wisconsin,5892539,Midwest
Alabama,5074296,South
Arkansas,3045637,South
Delaware,1018396,South
Florida,22244823,South
Georgia,10912876,South
Kansas,2937150,South
Kentucky,4512310,South
Louisiana,4590241,South
Maryland,6164660,South
Mississippi,2940057,South
Nebraska,1967923,South
North Carolina,10698973,South
North Dakota,779261,South
Oklahoma,4019800,South
South Carolina,5282634,South
South Dakota,909824,South
Tennessee,7051339,South
Texas,30029572,South
Virginia,8683619,South
West Virginia,1775156,South
Alaska,733583,West
Arizona,7359197,West
California,39029342,West
Colorado,5839926,West
Hawaii,1440196,West
Idaho,1939033,West
Montana,1122867,West
Nevada,3177772,West
New Mexico,2113344,West
Oregon,4240137,West
Utah,3380800,West
Washington,7785786,West
Wyoming,581381,West
