city,state_name,lat,lng,population,density
New York,New York,40.6943,-73.9249,18972871,10768.2
Los Angeles,California,34.1141,-118.4068,12121244,3267.6
Chicago,Illinois,41.8375,-87.6866,8595181,4576.6
Miami,Florida,25.784,-80.2101,5711945,4945.7
Dallas,Texas,32.7935,-96.7667,5668165,1522.2
Houston,Texas,29.786,-95.3885,5650910,1394.6
Philadelphia,Pennsylvania,40.0077,-75.1339,5512873,4544.9
Atlanta,Georgia,33.7628,-84.422,5046555,1419.9
Washington,District of Columbia,38.9047,-77.0163,4810669,4434.0
Boston,Massachusetts,42.3188,-71.0852,4208580,5505.8
Phoenix,Arizona,33.5722,-112.0892,4047095,1235.5
Detroit,Michigan,42.3834,-83.1024,3522856,1871.2
Seattle,Washington,47.6211,-122.3244,3438221,3412.2
San Francisco,California,37.7558,-122.4449,3290197,7199.4
San Diego,California,32.8313,-117.1222,3084174,1675.9
Minneapolis,Minnesota,44.9635,-93.2678,2856952,3035.5
Brooklyn,New York,40.6501,-73.9496,2736074,15200.5
Tampa,Florida,27.9945,-82.4447,2683956,1340.7
Denver,Colorado,39.762,-104.8758,2650725,1805.7
Queens,New York,40.7498,-73.7976,2405464,8503.7
Baltimore,Maryland,39.3051,-76.6144,2205092,2872.8
Las Vegas,Nevada,36.2333,-115.2654,2150373,1754.7
St. Louis,Missouri,38.6359,-90.2451,2092481,1905.7
Portland,Oregon,45.5371,-122.65,2036875,1881.6
Riverside,California,33.9381,-117.3949,2022285,1557.0
Orlando,Florida,28.4773,-81.337,1927699,992.0
Sacramento,California,38.5677,-121.4685,1924167,1971.3
San Juan,Puerto Rico,18.3985,-66.061,1915105,2982.2
San Antonio,Texas,29.4632,-98.5238,1910785,1184.5
San Jose,California,37.3012,-121.848,1729879,2229.0
Pittsburgh,Pennsylvania,40.4397,-79.9763,1720279,2100.7
Cincinnati,Ohio,39.1413,-84.506,1712287,1500.2
Manhattan,New York,40.7834,-73.9662,1694263,28653.9
Cleveland,Ohio,41.4764,-81.6805,1683059,1904.0
Indianapolis,Indiana,39.7771,-86.1458,1659305,928.2
Austin,Texas,30.3005,-97.7522,1659251,1165.6
Kansas City,Missouri,39.1238,-94.5541,1644497,602.6
Columbus,Ohio,39.9862,-82.9855,1556848,1559.5
Charlotte,North Carolina,35.2083,-80.8303,1516107,1091.0
Virginia Beach,Virginia,36.7335,-76.0435,1500764,711.4
Bronx,New York,40.8501,-73.8662,1472654,13356.3
Milwaukee,Wisconsin,43.0642,-87.9675,1340981,2379.0
Providence,Rhode Island,41.823,-71.4187,1270149,3764.8
Jacksonville,Florida,30.3322,-81.6749,1220191,466.3
Salt Lake City,Utah,40.7776,-111.9311,1135344,700.3
Nashville,Tennessee,36.1715,-86.7842,1098486,541.3
Raleigh,North Carolina,35.8324,-78.6429,1062018,1232.8
Memphis,Tennessee,35.1087,-89.9663,1034498,852.1
Louisville,Kentucky,38.1663,-85.6485,1022630,907.6
Richmond,Virginia,37.5295,-77.4756,1008069,1477.0
Buffalo,New York,42.9018,-78.8487,1004655,2446.1
Oklahoma City,Oklahoma,35.4676,-97.5136,994284,413.7
Bridgeport,Connecticut,41.1918,-73.1954,975078,3485.4
New Orleans,Louisiana,30.0687,-89.9288,925443,891.2
Fort Worth,Texas,32.7817,-97.3474,908469,988.3
Hartford,Connecticut,41.7661,-72.6834,907046,2722.5
Tucson,Arizona,32.1541,-110.8787,875284,873.6
Honolulu,Hawaii,21.3294,-157.846,835291,2214.1
McAllen,Texas,26.2252,-98.2467,809002,883.4
Omaha,Nebraska,41.2627,-96.0529,806485,1299.2
El Paso,Texas,31.8476,-106.43,794344,1015.8
