State,2022 Population Estimate,Region,Total doses distributed,Total doses administered by jurisdiction,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with a completed primary series,Residents 65+ with at least one dose,Residents 65+ with a completed primary series,Residents 12+ with at least one dose,Residents 12+ with a completed primary series,Residents 5+ with at least one dose,Residents 5+ with a completed primary series,Data As Of,Start Date,End Date,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia and COVID-19 Deaths
Connecticut,3626205,Northeast,11881825,9040989,3670090,95.0,2602449,823664,654355,3481915,2816633,3640198,2948721,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,12571.0,130502.0,4082.0
Indiana,6833037,Midwest,18989660,11201087,4350210,64.6,3511518,1046568,976073,4152915,3752153,4321434,3886503,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,26885.0,282262.0,13954.0
Iowa,3200517,Midwest,9429185,6131087,2235485,70.9,1818244,564406,532779,2126967,1945875,2215662,2024863,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,11026.0,125759.0,4065.0
Minnesota,5717184,Midwest,18519240,12829141,4461994,79.1,3533102,975356,919278,4143519,3818740,4390824,4039371,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,15298.0,188637.0,5610.0
Missouri,6177957,Midwest,15654225,10509024,4269469,69.6,3276112,1058140,943084,4082773,3493438,4236460,3615520,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,23363.0,273827.0,11052.0
Wisconsin,5892539,Midwest,16474175,12444016,4386970,75.3,3539130,1081267,1008957,4156988,3789458,4341550,3954892,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,17064.0,223540.0,6022.0
Alabama,5074296,South,12349530,7018011,3193141,65.1,2416344,840073,725159,3107922,2554026,3183544,2607644,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,21520.0,231602.0,7411.0
Arkansas,3045637,South,8373210,4874091,2115165,70.1,1547724,524198,440981,2031772,1661645,2104099,1715538,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,12663.0,140174.0,6060.0
Kansas,2937150,South,8356725,5387922,2229631,76.5,1688660,513572,462691,2112940,1820505,2209027,1898540,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,10152.0,112874.0,4487.0
Kentucky,4512310,South,12200975,7510137,3086324,69.1,2420948,750781,671775,2968160,2577615,3069983,2661099,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,20274.0,209080.0,10272.0
Louisiana,4590241,South,10282120,6961453,2924163,62.9,2350247,687335,647350,2833936,2497575,2915981,2558038,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,17722.0,199509.0,8882.0
Maryland,6164660,South,22359840,14722268,5566178,92.1,4174362,1057586,954352,5210024,4540602,5500247,4794005,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,18143.0,209247.0,7256.0
Mississippi,2940057,South,7252325,4307637,1839306,61.8,1462932,457131,419847,1786974,1560115,1835283,1598993,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,14955.0,139919.0,7469.0
Nebraska,1967923,South,5481710,3822190,1425923,73.7,1128474,318755,297818,1345134,1219736,1412159,1278092,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,5815.0,70422.0,2493.0
Oklahoma,4019800,South,9702330,6773461,2961991,74.9,2173211,715240,594390,2864254,2325996,2950731,2394480,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,18520.0,171792.0,8103.0
South Carolina,5282634,South,14205395,8666603,3666079,71.2,2811296,994994,860836,3532862,2991350,3646320,3081834,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,20842.0,224379.0,8778.0
Colorado,5839926,West,17769135,13033446,4837792,84.0,3729317,902546,818078,4549073,4023663,4776300,4215139,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,15378.0,176094.0,7850.0
Idaho,1939033,West,4751720,2894361,1146055,64.1,909671,287593,263280,1100797,975039,1139488,1008843,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,5610.0,63400.0,2828.0
Nevada,3177772,West,7722770,5590682,2400362,77.9,1777961,518532,442765,2317311,1903207,2392442,1962621,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,12259.0,117594.0,9210.0
New Mexico,2113344,West,6176205,4750638,1989307,94.9,1385236,466822,381631,1878915,1503820,1973116,1575380,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,8963.0,84955.0,4876.0
Oregon,4240137,West,14222125,9399175,3459096,82.0,2726093,786172,723687,3267521,2921883,3420770,3048791,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,9232.0,158968.0,3707.0
Utah,3380800,West,8421900,6158852,2421459,75.5,1818842,388400,354415,2251177,2018440,2393586,2134792,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,5867.0,83772.0,2808.0
