State,2022 Population Estimate,Region,Total doses distributed,Total doses administered by jurisdiction,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with a completed primary series,Residents 65+ with at least one dose,Residents 65+ with a completed primary series,Residents 12+ with at least one dose,Residents 12+ with a completed primary series,Residents 5+ with at least one dose,Residents 5+ with a completed primary series,Data As Of,Start Date,End Date,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia and COVID-19 Deaths
Maine,1385340,Northeast,4981040,3542346,1315892,95.0,1006201,366916,303658,1252248,1070587,1303033,1116192,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,3235.0,61645.0,872.0
New Hampshire,1395231,Northeast,5121800,2983122,1203845,88.5,891141,304648,257396,1152503,946332,1194903,977652,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,3112.0,51581.0,1155.0
Rhode Island,1093734,Northeast,3531485,2672092,1126779,95.0,819194,235273,200777,1065257,881654,1117840,926851,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,4083.0,42462.0,1764.0
Vermont,647064,Northeast,2588940,1762563,623937,95.0,467865,151804,133976,582633,502332,614499,531036,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,976.0,23816.0,321.0
Delaware,1018396,South,3352025,2169125,861811,88.5,641112,225182,193640,823076,686257,856096,713143,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,3445.0,41037.0,1683.0
North Dakota,779261,South,1910860,1314469,530640,69.6,403968,127584,110011,503578,429396,524966,446460,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,3101.0,29913.0,1621.0
South Dakota,909824,South,2713025,1688981,746118,84.3,524003,197409,159605,707773,561475,739933,586667,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,3472.0,34467.0,1592.0
West Virginia,1775156,South,5515855,3098571,1212338,67.6,989169,354072,321971,1178037,1045058,1208323,1069264,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,8339.0,98692.0,4281.0
Alaska,733583,West,2176065,1328221,535718,73.2,418608,90909,81999,504958,452885,530318,474707,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,1492.0,20039.0,813.0
Hawaii,1440196,West,4677910,3530357,1297884,91.7,1010380,281382,258069,1221060,1092826,1285596,1150133,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,1943.0,47252.0,977.0
Montana,1122867,West,2714785,1870288,731323,68.4,574244,205131,184619,699363,610146,726052,631474,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,3961.0,44283.0,1999.0
Wyoming,581381,West,1281755,854132,353727,61.1,281901,97375,87140,342435,298745,352361,306932,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,1855.0,20597.0,969.0
